Country,Front,Year,Soldiers_Deployed,Casualties,Battles_Fought,Victory_Rate,Military_Spending_USD_Million,Allied_Support_Index
UK,Europe,1941,2682115,613380,55,0.27,64485,6.3
USA,Africa,1939,1207677,1568908,6,0.6,40681,7.4
UK,Africa,1939,388790,1366413,197,0.64,20153,8.5
Italy,Europe,1942,2744489,1338682,95,0.76,64822,1.2
Germany,Western,1942,1508836,1077871,133,0.52,14432,8.8
Germany,Europe,1944,1741249,1063383,102,0.3,84341,6.4
USA,Africa,1943,4944723,1485140,3,0.41,3806,7
Germany,Pacific,1944,3793305,158504,181,0.47,20659,9.1
USSR,Eastern,1943,4566271,1287643,23,0.68,16528,6.2
Germany,Africa,1944,4485536,1534584,53,0.63,39716,3.4
UK,Europe,1941,1452695,693440,165,0.47,75733,8.3
UK,Eastern,1942,2206692,395540,83,0.94,99147,3.6
France,Europe,1939,1689228,1927275,145,0.65,71365,0.3
UK,Europe,1943,3643555,518923,85,0.38,77884,8.3
France,Pacific,1943,2749103,1216557,78,0.28,14203,3.5
UK,Eastern,1939,1200567,745699,110,0.31,76375,7.7
USSR,Eastern,1944,2385903,20870,1,0.38,13049,3.6
China,Pacific,1943,3932065,953082,51,0.32,55368,8.6
France,Africa,1945,4913296,1252772,173,0.34,864,2.2
Japan,Europe,1941,149115,249683,4,0.41,76127,9.7
Italy,Western,1942,3437690,1284253,190,0.33,90524,7.8
USA,Europe,1939,821747,27790,193,0.87,2493,1.1
UK,Europe,1942,4830530,1692738,113,0.26,76043,5.7
Germany,Africa,1945,3149851,812721,32,0.59,75966,9.9
China,Europe,1943,2923100,449345,34,0.51,73369,4.7
UK,Pacific,1943,3084626,750074,92,0.94,17418,1.8
Germany,Pacific,1945,1504330,1537038,95,0.28,15378,4.8
Italy,Eastern,1939,351492,1589349,72,0.5,56992,5.1
Italy,Western,1941,4135851,1880490,39,0.93,91801,7.4
Italy,Europe,1940,591072,1135764,154,0.85,99181,7
Germany,Europe,1939,1186880,530036,162,0.81,27356,4
UK,Africa,1940,4799303,1791705,182,0.39,85501,2.2
Italy,Pacific,1945,4625897,1714371,118,0.33,39965,6.5
USSR,Western,1944,2155723,791141,3,0.7,37269,4.2
France,Eastern,1940,2348988,649249,123,0.9,80929,1.3
Germany,Pacific,1941,4403244,1079931,50,0.62,64694,9
Germany,Eastern,1944,1414093,712131,12,0.63,60329,6.9
UK,Africa,1940,2864673,452015,193,0.41,53078,6.8
Germany,Africa,1945,3076242,1455908,54,0.78,176,8.2
Germany,Europe,1944,4680081,157542,133,0.34,52379,5.3
Italy,Western,1945,2748790,1222992,57,0.44,27682,8.2
UK,Eastern,1940,3863024,306062,145,0.52,65360,5
Italy,Pacific,1945,2746791,1888232,112,0.58,55226,0.7
France,Africa,1941,2810108,1613162,47,0.38,86116,4.1
China,Europe,1940,4933177,1551284,151,0.29,44377,5
France,Europe,1940,3453597,867651,85,0.66,68954,7.2
China,Eastern,1940,165953,1111205,142,0.42,3847,1.1
Italy,Africa,1939,4089618,1377760,66,0.64,47932,1.4
France,Western,1939,2697480,1542310,75,0.32,13768,2.6
UK,Africa,1939,4297571,756195,179,0.56,34610,2.7
USA,Eastern,1941,3022097,291160,103,0.6,76639,7.3
Italy,Eastern,1944,257164,1597824,166,0.24,22166,2.5
China,Africa,1945,4829930,1869599,192,0.45,36294,6.3
USSR,Eastern,1943,2328636,214920,38,0.3,1695,4.9
China,Africa,1940,631831,1939341,50,0.25,47573,5.7
USSR,Pacific,1945,3089475,1292380,98,0.94,19306,8.4
Germany,Africa,1940,3306420,1426541,82,0.44,53223,4
France,Africa,1941,3465884,1510433,30,0.81,37480,7.7
USSR,Eastern,1940,3469720,1872403,79,0.39,39332,4.2
China,Eastern,1939,4811075,1554068,91,0.71,63424,3.5
Germany,Europe,1943,2740328,654983,179,0.77,68294,9.6
USA,Europe,1942,791095,1465492,191,0.65,11744,1.8
UK,Pacific,1940,933727,822052,52,0.55,56314,0.9
UK,Europe,1945,1262928,1808150,166,0.51,75110,7.7
UK,Africa,1939,2283151,129148,79,0.46,97466,0.7
USSR,Eastern,1942,3263683,1856567,30,0.9,57595,8.4
USA,Europe,1943,4070001,1535837,106,0.82,39274,4.4
USSR,Europe,1942,170640,1405116,51,0.92,97995,9.2
France,Pacific,1939,4490886,1242290,81,0.29,13274,7.2
USSR,Pacific,1944,2100991,732899,133,0.75,40788,6.1
USA,Africa,1944,4222263,284876,29,0.9,25200,9.5
USA,Eastern,1942,4694877,260747,132,0.34,63781,4
France,Pacific,1941,4355780,616650,138,0.25,49738,9.5
USA,Europe,1945,1455531,424570,184,0.76,99979,1.4
China,Eastern,1945,775510,276987,145,0.63,73559,4.8
USA,Eastern,1942,3841196,1028512,74,0.83,8627,2.7
UK,Europe,1940,2834296,639353,17,0.3,8120,5.4
China,Pacific,1940,3431869,859158,84,0.8,8716,1.6
China,Europe,1945,998320,18640,69,0.35,57811,8.4
France,Eastern,1945,4929040,53528,34,0.32,36418,8.5
Japan,Western,1944,2107635,1874421,6,0.32,6833,9.6
Japan,Western,1941,1326607,260214,53,0.81,41964,1.5
USA,Africa,1939,4163960,1888646,194,0.7,70557,6.2
China,Europe,1940,3364908,971240,126,0.59,79076,4.7
